iter	Passed	Remaining
938	37539	2438
939	37573	2398
940	37611	2358
941	37648	2318
942	37682	2277
943	37719	2237
944	37757	2197
945	37793	2157
946	37835	2117
947	37871	2077
948	37913	2037
949	37966	1998
950	38012	1958
951	38048	1918
952	38085	1878
953	38129	1838
954	38159	1798
955	38202	1758
956	38236	1718
957	38270	1677
958	38312	1637
959	38344	1597
960	38385	1557
961	38415	1517
962	38455	1477
963	38496	1437
964	38541	1397
965	38584	1358
966	38627	1318
967	38675	1278
968	38718	1238
969	38759	1198
970	38800	1158
971	38840	1118
972	38877	1078
973	38929	1039
974	38972	999
975	39016	959
976	39058	919
977	39090	879
978	39136	839
979	39166	799
980	39195	759
981	39229	719
982	39272	679
983	39303	639
984	39341	599
985	39381	559
986	39416	519
987	39448	479
988	39483	439
989	39521	399
990	39559	359
991	39592	319
992	39623	279
993	39653	239
994	39701	199
995	39740	159
996	39777	119
997	39817	79
998	39862	39
999	39904	0
